,Player,Team,Rank,Pos,Bye,Best,Worst,Avg,Std Dev,ADP
127,Adrian Peterson,WAS,117,RB43,8.0,49.0,226.0,124.0,36.4,145.0
128,Cam Newton,NE,118,QB17,6.0,39.0,325.0,116.3,36.0,159.0
129,Emmanuel Sanders,NO,119,WR45,6.0,68.0,210.0,126.0,27.5,110.0
130,Anthony Miller,CHI,120,WR46,11.0,76.0,242.0,128.8,32.3,156.0
131,Jonnu Smith,TEN,121,TE15,7.0,56.0,286.0,131.6,29.1,153.0
132,Leonard Fournette,FA,122,RB44,,19.0,237.0,101.3,49.1,38.0
133,Duke Johnson,HOU,123,RB45,8.0,82.0,241.0,127.7,33.1,152.0
134,Noah Fant,DEN,124,TE16,8.0,47.0,231.0,126.9,24.5,112.0
135,Dallas Goedert,PHI,125,TE17,9.0,46.0,289.0,135.6,32.0,155.0
136,Baker Mayfield,CLE,126,QB18,9.0,63.0,197.0,126.3,23.2,122.0
137,Sony Michel,NE,127,RB46,6.0,57.0,274.0,121.2,38.0,87.0
138,Golden Tate,NYG,128,WR47,11.0,73.0,258.0,138.0,28.4,147.0
139,Alexander Mattison,MIN,129,RB47,7.0,71.0,276.0,125.3,32.7,124.0
140,Darrell Henderson,LAR,130,RB48,9.0,57.0,276.0,128.1,37.3,118.0
141,Ryan Tannehill,TEN,131,QB19,7.0,71.0,202.0,130.8,21.9,141.0
142,Mike Williams,LAC,132,WR48,10.0,55.0,225.0,131.7,31.0,125.0
143,Preston Williams,MIA,133,WR49,11.0,66.0,209.0,132.5,25.8,151.0
144,Tony Pollard,DAL,134,RB49,10.0,84.0,283.0,138.5,35.5,143.0
145,Henry Rug,LV,135,WR50,6.0,71.0,268.0,142.4,36.8,130.0
146,Chase Edmonds,ARI,136,RB50,8.0,81.0,257.0,145.5,36.2,158.0
147,Joe Burrow,CIN,137,QB20,9.0,74.0,338.0,135.7,31.0,132.0
148,Boston Scott,PHI,138,RB51,9.0,76.0,239.0,136.0,34.8,177.0
149,Blake Jarwin,DAL,139,TE18,10.0,52.0,344.0,144.7,34.6,172.0
150,Chris Thompson,JAC,140,RB52,7.0,89.0,247.0,159.5,42.3,190.0
151,Jerry Jeudy,DEN,141,WR51,8.0,86.0,231.0,139.7,29.2,109.0
152,Damien Harris,NE,142,RB53,6.0,72.0,289.0,151.6,49.1,183.0
153,Mecole Hardman,KC,143,WR52,10.0,69.0,245.0,148.5,32.0,140.0
155,Chris Hernd,NYJ,144,TE19,11.0,73.0,347.0,152.4,39.2,203.0
156,Gardner Minsh,JAC,145,QB21,7.0,78.0,266.0,147.3,29.3,136.0
157,Ke'Shawn Vaughn,TB,146,RB54,13.0,56.0,292.0,137.6,49.1,101.0
158,Jack Doyle,IND,147,TE20,7.0,66.0,291.0,151.9,35.8,180.0
