,Player,Team,Rank,Pos,Bye,Best,Worst,Avg,Std Dev,ADP
214,DeAndre Washington,KC,200,RB62,10.0,103.0,289.0,201.3,44.6,271.0
215,Dede Westbrook,JAC,201,WR71,7.0,98.0,301.0,203.9,31.6,197.0
216,Denver (DEN)D,DST,202,DST12,8.0,84.0,295.0,207.1,26.1,217.0
217,Los Angel,DST,203,DST13,10.0,90.0,347.0,205.0,37.4,214.0
218,Denzel Mims,NYJ,204,WR72,11.0,97.0,327.0,201.0,33.9,189.0
219,Anthony McFarla,PIT,205,RB63,8.0,99.0,351.0,199.4,46.7,225.0
220,Randall Cobb,HOU,206,WR73,8.0,122.0,282.0,205.4,24.1,218.0
221,O.J. Howard,TB,207,TE25,13.0,62.0,335.0,203.9,44.0,211.0
222,Matt Prater,DET,208,K6,5.0,108.0,324.0,215.7,27.8,180.0
223,Giovani Bernard,CIN,209,RB64,9.0,148.0,316.0,211.4,35.1,239.0
224,Matt Gay,TB,210,K7,13.0,129.0,321.0,211.5,26.7,181.0
225,John Ross,CIN,211,WR74,9.0,112.0,278.0,197.3,29.4,194.0
226,Ryquell Armstead,JAC,212,RB65,7.0,120.0,328.0,215.0,42.7,215.0
227,Cole Beasley,BUF,213,WR75,11.0,141.0,295.0,209.6,23.8,232.0
228,Laviska Shenau,JAC,214,WR76,7.0,96.0,344.0,209.9,44.6,222.0
229,Jake Elliott,PHI,215,K8,9.0,116.0,286.0,223.3,27.1,241.0
230,Tennessee (TEN)T,DST,216,DST14,7.0,124.0,295.0,219.3,27.8,238.0
231,Dawson Knox,BUF,217,TE26,11.0,124.0,299.0,210.9,35.5,219.0
232,Steven Sims,WAS,218,WR77,8.0,102.0,338.0,208.0,52.2,296.0
233,Ka'imi Fairbairn,HOU,219,K9,8.0,128.0,300.0,224.1,24.7,174.0
234,Zane Gonzalez,ARI,220,K10,8.0,115.0,329.0,225.5,31.8,191.0
235,Tyrod Taylor,LAC,221,QB29,10.0,97.0,352.0,233.6,52.0,231.0
236,Dwayne Haskins,WAS,222,QB30,8.0,96.0,336.0,234.0,46.4,253.0
237,Kenny Stills,HOU,223,WR78,8.0,121.0,298.0,210.6,28.1,210.0
238,Rashaad Penny,SEA,224,RB66,6.0,118.0,364.0,208.9,42.9,182.0
239,Jace Sternberger,GB,225,TE27,5.0,121.0,321.0,213.9,42.0,250.0
240,Seattle (SEA)S,DST,226,DST15,6.0,117.0,296.0,225.9,25.7,236.0
