,Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,StandardFantasyPoints,PPRFantasyPoints,HalfPPRFantasyPoints
223,David Njoku,TE,CLE,0,0,0,0,0,0,0,0,2,2,11,0,0,1.1,3.1,2.1
224,Richard Rodgers,TE,PHI,0,0,0,0,0,0,0,0,2,2,11,0,0,1.1,3.1,2.1
225,C.J. Saunders,WR,CAR,0,0,0,0,0,0,0,0,2,2,11,0,0,1.1,3.1,2.1
226,Tommy Tremble,TE,CAR,0,0,0,0,0,1,4,0,2,5,7,0,0,1.1,3.1,2.1
227,Gerald Everett,TE,SEA,0,0,0,0,0,0,0,0,1,3,20,0,0,2.0,3.0,2.5
228,Derrick Gore,RB,KAN,0,0,0,0,0,7,30,0,0,1,0,0,0,3.0,3.0,3.0
229,Isaiah McKenzie,WR,BUF,0,0,0,0,0,1,10,0,1,1,9,0,0,1.9,2.9,2.4
230,Courtland Sutton,WR,DEN,16,0,0,1,1,0,0,0,1,3,13,0,0,1.94,2.94,2.44
231,Kyle Pitts,TE,ATL,0,0,0,0,0,0,0,0,2,5,8,0,0,0.8,2.8,1.8
232,Tyler Conklin,TE,MIN,0,0,0,0,0,0,0,0,2,4,6,0,0,0.6000000000000001,2.6,1.6
233,Jamison Crowder,WR,NYJ,0,0,0,0,0,0,0,0,1,1,16,0,0,1.6,2.6,2.1
234,Noah Fant,TE,DEN,0,0,0,0,0,0,0,0,1,2,16,0,0,1.6,2.6,2.1
235,Anthony Schwartz,WR,CLE,0,0,0,0,0,1,3,0,1,3,13,0,0,1.6,2.6,2.1
236,Greg Dortch,WR,ARI,0,0,0,0,0,0,0,0,2,2,5,0,0,0.5,2.5,1.5
237,Jake Kumerow,WR,BUF,0,0,0,0,0,0,0,0,1,1,15,0,0,1.5,2.5,2.0
238,Marcus Mariota,QB,LVR,4,0,0,1,1,4,23,0,0,0,0,0,0,2.4600000000000004,2.4600000000000004,2.4600000000000004
239,Chester Rogers,WR,TEN,0,0,0,0,0,0,0,0,2,2,4,0,0,0.4,2.4,1.4
240,Dazz Newsome,WR,CHI,0,0,0,0,0,0,0,0,1,2,13,0,0,1.3,2.3,1.8
241,Trent Sherfield,WR,SFO,0,0,0,0,0,0,0,0,1,1,13,0,0,1.3,2.3,1.8
242,Tony Jones,RB,NOR,0,0,0,0,0,7,22,0,0,1,0,0,0,2.2,2.2,2.2
243,Cordarrelle Patterson,RB,ATL,0,0,0,0,0,4,11,0,1,1,1,0,0,1.2000000000000002,2.2,1.7000000000000002
244,Benny Snell Jr.,RB,PIT,0,0,0,0,0,12,22,0,0,0,0,0,0,2.2,2.2,2.2
245,Jack Doyle,TE,IND,0,0,0,0,0,0,0,0,1,2,11,0,0,1.1,2.1,1.6
