Pos,Team,Name,G,Snaps,TeamSnaps,Snap%,Per Game,RushPerc,TargetP,TouchPerc,FP,FPPerSnap
TE,DET,Eric Ebron,13,445,881,50.51,34.23,0,10.56,10.56,30.8,0.07
RB,NYJ,Chris Ivory,16,444,1088,40.81,27.75,44.59,6.08,50.68,134.3,0.3
WR,MIN,Charles Johnson,11,440,704,62.5,40,0.23,13.41,13.64,60.4,0.14
TE,MIN,Kyle Rudolph,9,434,532,81.58,48.22,0,7.83,7.83,35.1,0.08
WR,DAL,Cole Beasley,16,433,1059,40.89,27.06,0,11.32,11.32,62,0.14
TE,JAX,Marcedes Lewis,8,432,500,86.4,54,0,7.18,7.18,32.6,0.08
TE,NYG,Daniel Fells,16,427,1128,37.85,26.69,0,4.68,4.68,40.8,0.1
WR,CHI,Josh Morgan,14,422,922,45.77,30.14,0.47,4.5,4.98,16,0.04
RB,ATL,Steven Jackson,15,420,1010,41.58,28,45.24,6.43,51.67,121.5,0.29
RB,NYG,Rashad Jennings,11,418,786,53.18,38,39.95,9.81,49.76,108.5,0.26
WR,IND,Donte Moncrief,16,411,1155,35.58,25.69,0.97,11.92,12.9,64.1,0.16
WR,DET,Corey Fuller,16,410,1093,37.51,25.63,0,7.56,7.56,24.2,0.06
WR,LAR,Stedman Bailey,14,404,876,46.12,28.86,0.25,11.39,11.63,50.8,0.13
RB,CLE,Terrance West,14,402,945,42.54,28.71,42.54,3.23,45.77,101.7,0.25
TE,IND,Jack Doyle,16,399,1155,34.55,24.94,0,5.51,5.51,23.8,0.06
RB,LAR,Benjamin Cunningham,16,399,1004,39.74,24.94,16.54,13.28,29.82,79.8,0.2
RB,NYJ,Chris Johnson,16,398,1088,36.58,24.88,38.94,8.54,47.49,91.4,0.23
TE,DEN,Virgil Green,13,394,899,43.83,30.31,0.51,1.52,2.03,13.7,0.03
WR,NE,Kenbrell Thompkins,14,394,954,41.3,28.14,0.51,12.18,12.69,26.7,0.07
RB,JAX,Denard Robinson,13,391,853,45.84,30.08,34.53,7.93,42.46,90.6,0.23
TE,WAS,Logan Paulsen,16,390,1054,37,24.38,0,4.1,4.1,11.8,0.03
WR,ATL,Devin Hester,16,388,1081,35.89,24.25,1.55,15.21,16.75,70,0.18
FB,OAK,Marcel Reece,15,385,978,39.37,25.67,5.45,15.32,20.78,39,0.1
RB,CLE,Isaiah Crowell,16,385,1051,36.63,24.06,38.44,3.64,42.08,113.4,0.29
